iter	Logloss
0	0.6522288833
1	0.6219083725
2	0.5870666054
3	0.5604508341
4	0.5395226831
5	0.5207764526
6	0.5064695866
7	0.4939120553
8	0.4806617511
9	0.4668059019
10	0.452692053
11	0.4422344692
12	0.4339195367
13	0.4276082801
14	0.4209314288
15	0.4145808788
16	0.4079361538
17	0.4021240621
18	0.3958042754
19	0.3900185978
20	0.3863182709
21	0.3821272312
22	0.3788180901
23	0.3736715229
24	0.3699573625
25	0.3650944821
26	0.359542965
27	0.3557198927
28	0.3531582494
29	0.3503579257
30	0.3474421596
31	0.3448398628
32	0.3430046426
33	0.3414762072
34	0.3393791299
35	0.3368997145
36	0.3346474972
37	0.3333004135
38	0.3317891091
39	0.3297929136
40	0.3280932139
41	0.3262979701
42	0.3251216685
43	0.3230208841
44	0.3213703667
45	0.3191571314
46	0.3174405449
47	0.3147569383
48	0.3134048036
49	0.3125787068
50	0.3114231591
51	0.3102154408
52	0.308804005
53	0.3077239239
54	0.3064916292
55	0.3054472519
56	0.3038963709
57	0.3025097487
58	0.300810566
59	0.2998439777
60	0.2986859391
61	0.2970584141
62	0.2959172907
63	0.2953684924
64	0.2942777765
65	0.2937868109
66	0.292317818
67	0.2916095605
68	0.2908734609
69	0.2899837513
70	0.2889165464
71	0.288484209
72	0.287730159
73	0.2872253312
74	0.2865016619
75	0.2858402817
76	0.284816377
77	0.28408603
78	0.2837472693
79	0.2831952519
80	0.2828846581
81	0.2815568766
82	0.2809956359
83	0.2800329964
84	0.2794562353
85	0.2791597607
86	0.2786821226
87	0.2781789392
88	0.2773895456
89	0.2767422723
90	0.2763884776
91	0.2754638041
92	0.2740567694
93	0.2733880898
94	0.2721974256
95	0.2721144292
96	0.2718491465
97	0.2716216593
98	0.2711872748
99	0.2707252821
100	0.2705945876
101	0.2701182071
102	0.2695765701
103	0.268584053
104	0.268309782
105	0.2676896977
106	0.2671194962
107	0.2669380053
108	0.2663845709
109	0.2659074004
110	0.2656147419
111	0.2654726842
112	0.2645443392
113	0.2641565964
114	0.2639065328
115	0.2635232538
116	0.2631671074
117	0.2625624771
118	0.2621951976
119	0.2620532732
120	0.2614734365
121	0.2609670425
122	0.2607294104
123	0.2606068956
124	0.2599784597
125	0.2596946262
126	0.2591758481
127	0.2589465814
128	0.2584856236
129	0.2581988855
130	0.2579756015
131	0.2574379295
132	0.2572175702
133	0.2569664343
134	0.2560322395
135	0.2557688747
136	0.2551330716
137	0.2550828786
138	0.2547020874
139	0.2545113688
140	0.2543730683
141	0.2537233242
142	0.2534627736
143	0.2527675794
144	0.2525633991
145	0.2524900909
146	0.2519372911
147	0.2514872916
148	0.251276026
149	0.2509269347
150	0.2508341059
151	0.2503549765
152	0.2500051563
153	0.2498091614
154	0.2495559883
155	0.2494538189
156	0.249081308
157	0.2487205154
158	0.248425587
159	0.248328127
160	0.2479403597
161	0.2477524082
162	0.2472136166
163	0.2469786923
164	0.2468996019
165	0.2465817607
166	0.2461419795
167	0.2456476918
168	0.2450225902
169	0.244699858
170	0.2445408491
171	0.2442485122
172	0.2435270277
173	0.2429855267
174	0.2424731364
175	0.2423632437
176	0.2421122185
177	0.2420512539
178	0.2415504378
179	0.2410653809
180	0.2406316773
181	0.2405396196
182	0.2395608915
183	0.2394835848
184	0.2392381955
185	0.2391435046
186	0.2389993556
187	0.2386745501
188	0.238323504
189	0.2371887511
190	0.2366246258
191	0.2362765618
192	0.2361991969
193	0.2359319033
194	0.2356093136
195	0.2351642345
196	0.2347910811
197	0.234567257
198	0.2341247789
199	0.2337348937
200	0.2332695826
201	0.2331318987
202	0.2326412493
203	0.2322982192
204	0.2321570954
205	0.2320540229
206	0.2313017234
207	0.231205971
208	0.2311035743
209	0.2310043684
210	0.2301774512
211	0.2300650062
212	0.2299417031
213	0.2298371647
214	0.2294409149
215	0.2289141742
216	0.2288190621
217	0.2283735772
218	0.2279842676
219	0.2275068402
220	0.2274092727
221	0.2269616045
222	0.2265170694
223	0.2259605495
224	0.2258631488
225	0.2254746382
226	0.2252213898
227	0.2249305782
228	0.2248358021
229	0.2242056187
230	0.224119606
231	0.2233805085
232	0.2233039394
233	0.2232290116
234	0.2231133488
235	0.2228455937
236	0.2224609311
237	0.2218912298
238	0.2218171926
239	0.2214307833
240	0.2213467136
241	0.2204752862
242	0.2203805042
243	0.2198949824
244	0.219802156
245	0.2193551899
246	0.2189767457
247	0.2187214905
248	0.218414582
249	0.2182338584
250	0.2181446473
251	0.2177576259
252	0.2174438805
253	0.2169800391
254	0.2165322252
255	0.2164629792
256	0.2160636882
257	0.215493233
258	0.2151670368
259	0.214915489
260	0.2148235781
261	0.2147105688
262	0.214373847
263	0.2137806363
264	0.2132780096
265	0.2129075962
266	0.2127008677
267	0.2126330103
268	0.2122582847
269	0.2118168326
270	0.2113060556
271	0.2112163706
272	0.2107836625
273	0.2106886043
274	0.209977973
275	0.2096347664
276	0.2092235241
277	0.2091103999
278	0.2090521813
279	0.208762066
280	0.2083219614
281	0.2079503043
282	0.2078328366
283	0.2074043291
284	0.2071116059
285	0.2070506336
286	0.2069585223
287	0.2066358654
288	0.2063178879
289	0.2062774872
290	0.2059266427
291	0.2058871585
292	0.2057927323
293	0.205377431
294	0.2050130859
295	0.2049335492
296	0.2046394925
297	0.2042849996
298	0.2037776792
299	0.2037296422
